"id","comitted_production_per_hour","hired_for_this","remarks","employee_id","skills_id","process_id","efficiency","smv"
"9525","COLLER JOIN","yes",NULL,"11554",NULL,NULL,"120","0.5"
"9526","SIDE T/S","yes",NULL,"11554",NULL,NULL,"100","0.6"
"9527","SIDE JOIN","yes",NULL,"11553",NULL,NULL,"120","0.5"
"9528","COLLER JOIN","yes",NULL,"11553",NULL,NULL,"120","0.5"
"9529","SIDE T/S","yes",NULL,"11553",NULL,NULL,"100","0.6"
"9530","110",NULL,NULL,"5067","86","159","75","0.4"
"9531","COLLER MAKE","yes",NULL,"11485",NULL,NULL,"100","0.6"
"9532","COLLER 1/4","yes",NULL,"11485",NULL,NULL,"120","0.5"
"9533","S. FLY T/S","yes",NULL,"11485",NULL,NULL,"150","0.4"
"9534","COLLER JOIN","yes",NULL,"11674",NULL,NULL,"100","0.6"
"9535","COLLER T/S","yes",NULL,"11674",NULL,NULL,"120","0.5"
"9536","S.FLY T/S","yes",NULL,"11674",NULL,NULL,"150","0.4"
"9537","COLLER 1/4","yes",NULL,"11753",NULL,NULL,"120","0.5"
"9538","BELT JOIN","yes",NULL,"11753",NULL,NULL,"100","0.6"
"9539","FLAP T/S","yes",NULL,"11753",NULL,NULL,"133","0.45"
"9540","FLAP 1/16","yes",NULL,"11754",NULL,NULL,"120","0.5"
"9541","ZIPPER JOIN","yes",NULL,"11754",NULL,NULL,"120","0.5"
"9542","BTM HEM","yes",NULL,"11754",NULL,NULL,"100","0.6"
"9543","FLAP 1/16","yes",NULL,"11675",NULL,NULL,"120","0.6"
"9544","ZIPPER JOIN","yes",NULL,"11675",NULL,NULL,"120","0.6"
"9545","FLAP T/S","yes",NULL,"11675",NULL,NULL,"100","0.5"
"9546","BELT JOIN","yes",NULL,"11580",NULL,NULL,"120","0.5"
"9547","PLACKET 1/4","yes",NULL,"11580",NULL,NULL,"109","0.55"
"9548","COLLER 1/16","yes",NULL,"11580",NULL,NULL,"120","0.5"
"9549","CUFF JOIN","yes",NULL,"11756",NULL,NULL,"120","0.5"
"9550","BTM HEM","yes",NULL,"11756",NULL,NULL,"100","0.6"
"9551","COLLERT T/S","yes",NULL,"11756",NULL,NULL,"120","0.5"
"9552","SIDE JOIN","yes",NULL,"11758",NULL,NULL,"100","0.6"
"9553","INSEAM","yes",NULL,"11758",NULL,NULL,"120","0.5"
"9554","SLEEVE T/S","yes",NULL,"11758",NULL,NULL,"100","0.6"
"9555","COLLER MAKE","yes",NULL,"11759",NULL,NULL,"120","0.5"
"9556","PKT JOIN","yes",NULL,"11759",NULL,NULL,"100","0.6"
"9557","BELT MAKE","yes",NULL,"11759",NULL,NULL,"92","0.65"
"9558","112",NULL,NULL,"5043","90","1041","74","0.4"
"9559","SIDE T/S","yes",NULL,"11761",NULL,NULL,"120","0.5"
"9560","SIDE JOIN","yes",NULL,"11761",NULL,NULL,"100","0.6"
"9561","BTM HEM","yes",NULL,"11761",NULL,NULL,"100","0.6"
"9562","63",NULL,NULL,"4129","86","330","78","0.75"
"9563","FLAP JOIN","yes",NULL,"11762",NULL,NULL,"133","0.45"
"9564","PKT T/S","yes",NULL,"11762",NULL,NULL,"120","0.5"
"9565","BELT T/S","yes",NULL,"11762",NULL,NULL,"120","0.5"
"9566","COLLER T/S","yes",NULL,"11765",NULL,NULL,"120","0.5"
"9567","MOUTH CLOSE","yes",NULL,"11765",NULL,NULL,"100","0.6"
"9568","BELT JOIN","yes",NULL,"11765",NULL,NULL,"100","0.6"
"9569","SIDE SEAM","yes",NULL,"11766",NULL,NULL,"100","0.6"
"9570","BELT T/S","yes",NULL,"11766",NULL,NULL,"100","0.6"
"9571","INSEAM JOIN","yes",NULL,"11766",NULL,NULL,"120","0.5"
"9572","SIDE SEAM","yes",NULL,"11767",NULL,NULL,"100","0.6"
"9573","BELT T/S","yes",NULL,"11767",NULL,NULL,"100","0.6"
"9574","INSEAM JOIN","yes",NULL,"11767",NULL,NULL,"120","0.5"
"9575","C/Pkt Jnt + Bon T/S + C/F Zier JNT","yes",NULL,"17177",NULL,NULL,"74","6.3"
"9576","Side Seam Join + SLV Pannal Join + Zipper Faching T/S","yes",NULL,"17107",NULL,NULL,"54","5.33"
"9577","SLV JNT + SIDE SEAM JNT + SLV pNL JNT","yes",NULL,"17153",NULL,NULL,"76","6"
"9578","Front Part Quilting + Bone Join + PKT Seam Join","yes",NULL,"17106",NULL,NULL,"55","5.66"
"9579","PLAKET1/4T/S + BON T/S + SIDE SEAM JOIN","yes",NULL,"17132",NULL,NULL,"77","4.66"
"9580","122",NULL,NULL,"17245","93","109","81","0.4"
"9581","78",NULL,NULL,"17245","86","106","78","0.6"
"9582","60",NULL,NULL,"17246","86","302","85","0.85"
"9583","84",NULL,NULL,"17246","86","320","84","0.6"
"9584","61","yes",NULL,"16532","299","1120","71","0.7"
"9585","63","yes",NULL,"16532","298","1119","74","0.7"
"9586","100",NULL,NULL,"4795","86","324","83","0.5"
"9587","90",NULL,NULL,"4714","92","310","90","0.6"
"9588","98",NULL,NULL,"4730","89","351","82","0.5"
"9589","87",NULL,NULL,"4704","163","310","87","0.6"
"9590","105",NULL,NULL,"4704","163","321","87","0.5"
"9591","44",NULL,NULL,"4699","86","332","90","0.75"
"9592","100",NULL,NULL,"4699","86","167","84","0.3"
"9593","104",NULL,NULL,"6549","86","854","86","0.5"
"9594","92",NULL,NULL,"6549","86","300","85","0.55"
"9595","80",NULL,NULL,"9526","86","325","80","0.6"
"9596","80",NULL,NULL,"6553","92","321","90","0.4"
"9597","92",NULL,NULL,"6553","163","1121","90","0.35"
"9598","50","yes",NULL,"10943","295","771","60","0.7"
"9599","50","yes",NULL,"10943","295","774","60","0.7"
"9600","50","yes",NULL,"10943","295","783","60","0.7"
"9601","84","yes",NULL,"2802","295","773","70","0.5"
"9602","130","yes",NULL,"2802","295","791","65","0.3"
"9603","130","yes",NULL,"2802",NULL,"802","65","0.3"
"9604","150","yes",NULL,"14613","295","803","75","0.3"
"9605","120","yes",NULL,"14613","295","804","60","0.3"
"9606","105","yes",NULL,"14613","295","806","70","0.4"
"9607","60",NULL,NULL,"1781","295","738","60","0.6"
"9608","80",NULL,NULL,"1781","295","741","80","0.6"
"9609","80",NULL,NULL,"1781","295","742","80","0.6"
"9610","75",NULL,NULL,"1781","295","757","75","0.6"
"9611","76",NULL,NULL,"6581","243","304","85","0.4"
"9612","71",NULL,NULL,"6581","243","305","89","0.45"
"9613","65","yes",NULL,"10425","295","741","65","0.6"
"9614","65","yes",NULL,"10425","295","742","65","0.6"
